Name,Project,Arrangement,Organization,Theme,Year,Periodicity,Requested,Delivered,Established
(Particulier),Avondvierdaagse Amsterdam Noord,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.000,€ 0,€ 0
(Particulier),buurtactiviteit voor Kruislaanbewoners(jong en oud),Basisvoorziening versterken vrijwillige inzet en informele netwerken (SD Oost),stadsdeel Oost,Welzijn en Zorg,2017,Eenmalig,€ 450,€ 450,€ 450
(Particulier),Bakkerij/Lunchroom,"Basisvoorziening activering, participatie en sociale accommodaties (SD Nieuw-West)",stadsdeel Nieuw-West,Welzijn en Zorg,2017,Eenmalig,€ 40.000,€ 0,€ 0
(Particulier),Verbouwing containerruimte tot starters ruimte,Subsidieregeling maatschappelijk initiatief stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 5.000,€ 0,€ 0
(Particulier),Stichting De Kunstgezellen,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 3.000,€ 3.000,€ 3.000
(Particulier),opbergkast en tafeltennisrackets & balletjes,Subsidieregeling Bewonersinitiatieven,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 265,€ 265,€ 265
(Particulier),gezond kokenn voor en met Moeders in de buurt,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 2.450,€ 2.160,€ 2.160
(Particulier),Voorleestheater dat het oude aan het nieuwe verbindt,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 3.000,€ 3.000,€ 3.000
(Particulier),Klaverjassen voor  ouderen in de Molenwijk,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 500,€ 0,€ 0
(Particulier),Project Geef Straten een Gezicht,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 4.620,€ 0,€ 0
(Particulier),activiteiten bewoners A'dam Oostelijke eilanden,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Eenmalig,€ 6.500,€ 0,€ 0
(Particulier),Om de faciliteiten te verbeteren en het organiseren van openbare evenementen in WorkCentre 232.,Eenmalige Initiatieven SD Zuidoost,stadsdeel Zuidoost,Algemeen,2017,Eenmalig,€ 9.732,€ 0,€ 0
(Particulier),"Bodemverbetering, beplanting, afrastering en watervoorziening van zes boomtuintjes.",Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 1.420,€ 1.420,€ 1.420
(Particulier),Postjesweg,"Verbetering fysieke structuur, aanpak winkelpuien Postjesweg",stadsdeel West,Economie,2017,Eenmalig,€ 11.736,€ 11.736,
(Particulier),Bellamijn - digitaal platform,Subsidieregeling bewonersinitiatieven Stadsdeel West,stadsdeel West,Welzijn en Zorg,2017,Eenmalig,€ 5.000,€ 5.000,€ 5.000
(Particulier),Postjesweg,"Verbetering fysieke structuur, aanpak winkelpuien Postjesweg",stadsdeel West,Economie,2017,Eenmalig,€ 121.759,€ 121.759,
(Particulier),Oprichten ondernemingsvereniging,Subsidieregeling Oprichten ondernemingsvereniging,Economie,Economie,2017,Eenmalig,€ 5.000,€ 0,€ 0
(Particulier),Herinneringsmonument Samenwerking 1940-1945,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 5.000,€ 5.000,€ 5.000
(Particulier),voor het Veroneseplantsoen,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 5.000,€ 5.000,€ 5.000
(Particulier),groene daken,Subsidieregeling groene daken en gevels Amsterdam 2016-2018 (groene daken),Ruimte en Duurzaamheid,Ruimte en Duurzaamheid,2017,Eenmalig,€ 2.000,€ 2.000,€ 2.000
